Page,Edits,Editors,Views,Mobile %
Martin Luther King Jr.,,,6496173,60.66
Bohemian Rhapsody (film),,,6489825,64.03
Thor: Ragnarok,,,6480175,64.63
Annihilation (film),,,6476421,63.46
Tom Hardy,,,6471779,74.83
Australia,,,6464454,52.51
John F. Kennedy,,,6443533,64.83
List of Black Mirror episodes,,,6439052,60.12
Justin Bieber,,,6409882,77.97
John Paul Getty III,,,6377481,78.84
"Prince Harry, Duke of Sussex",,,6365094,84
Virat Kohli,,,6346020,84.77
Stranger Things,,,6326498,64.19
Star Wars: The Last Jedi,,,6324788,58.44
September 11 attacks,,,6320439,61.22
Abraham Lincoln,,,6302563,64
Chris Pratt,,,6278770,76.87
Vietnam War,,,6264135,61.84
Incredibles 2,,,6252964,65.02
Fantastic Beasts: The Crimes of Grindelwald,,,6243861,66.15
Captain Marvel (film),,,6202576,61.48
Germany,,,6186735,46.61
Lisa Bonet,,,6177104,82.89
Neymar,,,6176556,74.82
Chadwick Boseman,,,6161943,73.35
Leonardo DiCaprio,,,6156044,76.53
JSON Web Token,,,6135398,96.24
Steve Jobs,,,6118510,63.65
Beto O'Rourke,,,6107839,70.62
Arnold Schwarzenegger,,,6097230,72.27
Padmaavat,,,6090091,75.85
New York City,,,6083674,54.98
John Cena,,,6062701,75.55
Red Dead Redemption 2,,,6057043,69.18
The Handmaid's Tale,,,6031449,66.61
Melania Trump,,,6018772,73.34
Mila Kunis,,,6000968,80.3
Camila Cabello,,,5997820,72.71
Rami Malek,,,5975824,71.06
Sanjay Dutt,,,5953282,83.93
Cher,,,5928936,74.24
Ruth Bader Ginsburg,,,5926594,67.77
Stormy Daniels,,,5918076,68.76
Hereditary (film),,,5907318,69.31
Prince Harry,,,5875743,75.39
Kate Spade,,,5858720,70.96
Justice League (film),,,5828086,64.11
Seven deadly sins,,,5821193,65.46
Jennifer Lopez,,,5806080,79.95
Nicki Minaj,,,5803883,75.15
Jennifer Lawrence,,,5792310,69.98
Atal Bihari Vajpayee,,,5783187,83.91
Zendaya,,,5781079,77.96
Ed Sheeran,,,5762238,70.56
Beyoncé,,,5723580,70.32
Johnny Depp,,,5720070,73.45
Jumanji: Welcome to the Jungle,,,5719943,67.61
Jimmy Carter,,,5708534,68.44
J. Paul Getty,,,5707409,77.39
Japan,,,5705228,52.06
Vladimir Putin,,,5703426,63.2
Stephen Curry,,,5697328,73.83
Harry Potter,,,5678989,65.67
2014 FIFA World Cup,,,5672832,62.17
Google Chrome,,,5671827,12.63
Rowan Atkinson,,,5664222,77.84
Ted Bundy,,,5661353,73.75
Will Smith,,,5653374,75.39
"Catherine, Duchess of Cambridge",,,5647451,79.45
Peaky Blinders (TV series),,,5634158,66.71
Ellen DeGeneres,,,5619877,80.45
Lil Pump,,,5602557,70.58
Call Me by Your Name (film),,,5600567,60.95
The Big Bang Theory,,,5598358,54.75
Fred Rogers,,,5592984,69.1
Gal Gadot,,,5567206,76.46
Elizabeth Olsen,,,5547117,75.14
Mark Zuckerberg,,,5546151,65.46
American Horror Story,,,5500838,67.78
List of Steven Universe episodes,,,5493462,51.96
Macaulay Culkin,,,5492483,75.78
Get Out,,,5456436,65.18
Israel,,,5445250,59.01
The Pirate Bay,,,5442807,32.84
Justin Timberlake,,,5417278,77.01
George V,,,5416463,73.2
Blockchain,,,5407024,42.09
Sexual intercourse,,,5391253,84.21
Alexander Hamilton,,,5379582,63.4
UEFA Champions League,,,5366275,59.23
Zac Efron,,,5366242,82
Robin Williams,,,5349045,72.07
List of Super Bowl champions,,,5344508,73.18
Sandra Bullock,,,5328549,80.43
Halloween (2018 film),,,5327202,67.35
Mamma Mia! Here We Go Again,,,5324693,69.94
Blake Lively,,,5322279,78.82
Taylor Swift,,,5302849,67.44
Alicia Vikander,,,5276568,71.54
Elizabeth I of England,,,5273718,66.55
Miguel Ángel Félix Gallardo,,,5272715,81.85
Ronald Reagan,,,5271425,62.59
Mia Khalifa,,,5246847,83.42
William Shakespeare,,,5226885,59
Angelina Jolie,,,5222447,76.41
NATO phonetic alphabet,,,5218506,49.26
Shawn Mendes,,,5217243,73.71
Margot Robbie,,,5215406,73.36
Joseph Stalin,,,5203931,60.93
Ocean's 8,,,5199773,63.9
Coco (2017 film),,,5194160,63.4
Bruno Mars,,,5193120,73.35
Bill Gates,,,5191481,60.9
Robert Downey Jr.,,,5190445,74.26
List of NBA champions,,,5185032,73.74
Mark Wahlberg,,,5184589,78.19
Anthony Joshua,,,5175141,69.92
Blade Runner 2049,,,5170801,62.8
The Shape of Water (film),,,5169876,57.21
The Walking Dead (TV series),,,5162808,53.09
Bird Box (film),,,5136607,81.73
