Page,Edits,Editors,Views,Mobile %
"Franklin D. Roosevelt",221,119,7636599,67.73
"Dennis Rodman",104,54,7631618,81.5
"Bernie Sanders",892,170,7629723,65.03
"China",997,302,7627821,59.11
"Lionel Messi",664,166,7605922,74.4
"Nancy Pelosi",299,160,7604367,72.34
"Juneteenth",464,218,7595124,76.62
"Ariana Grande",960,216,7558269,73.43
"Death of George Floyd",2,2,7544908,76.8
"Tom Cruise",136,76,7535492,76.91
"Amber Heard",277,120,7520207,77.09
"The Crown (TV series)",716,228,7463986,71.07
"Abraham Lincoln",1058,144,7430709,67.42
"List of Bollywood films of 2020",0,0,7426918,76.86
"The Witcher (TV series)",536,218,7393389,67.25
"Bruce Lee",241,93,7245120,78.77
"List of states and territories of the United States",77,49,7240747,65.7
"Taylor Swift",1438,226,7221061,67.96
"Mike Pence",524,218,7189976,70.89
"Sacha Baron Cohen",230,162,7180841,73.5
"Pablo Escobar",61,49,7173132,81.97
"Clint Eastwood",477,224,7161299,75.72
"Michael Bloomberg",966,290,7160483,68.45
"New York City",562,169,7159024,55.06
"Kelly Preston",372,212,7155744,81.19
"Bill Gates",243,130,7146253,68.1
"Shakira",348,138,7143076,78.88
"Jennifer Lopez",136,65,7107950,81.08
"Candace Owens",597,271,7095897,76.29
"List of NBA champions",166,82,7077566,76.99
"Mahatma Gandhi",267,121,7070913,74.58
"Black Lives Matter",1026,353,7048050,63.78
"Harshad Mehta",454,303,7038299,87.23
"Watts family murders",328,201,7024929,84.07
"List of United States cities by population",49,29,6982136,66.07
"Martin Luther King Jr.",381,127,6959181,64.21
"Peaky Blinders (TV series)",256,155,6958654,71.62
"Ted Bundy",159,73,6948930,79.65
"Cyberpunk 2077",1497,457,6932094,57.35
"Tyson Fury",440,113,6928577,74.64
"Star Wars: The Rise of Skywalker",1689,595,6914371,66.36
"Louis Mountbatten, 1st Earl Mountbatten of Burma",303,148,6843749,81.58
"Muhammad Ali",213,105,6813110,74.93
"Arnold Schwarzenegger",153,92,6809277,72.83
"Canada",632,149,6805322,57.77
"Mia Khalifa",147,69,6766580,87.39
"Republican Party (United States)",498,191,6737127,65.48
"Pirates of the Caribbean (film series)",408,249,6716735,71.55
"Prince Andrew, Duke of York",222,80,6681358,80.43
"Netflix",1113,583,6662778,44.02
"Rhea Chakraborty",366,168,6645320,88.91
"Australia",314,133,6631122,58.47
"Pandemic",1356,628,6628819,65.84
"Khabib Nurmagomedov",737,250,6627809,71.94
"George Washington",298,131,6615062,68.56
"Elvis Presley",191,111,6604660,72.7
"Pornhub",166,72,6599338,75.77
"Harry Potter (film series)",89,52,6597466,68.27
"Chernobyl disaster",237,102,6596303,69.21
"Shaquille O'Neal",159,71,6592091,77.22
"Will Smith",?,?,6586265,77.44
"Eminem",?,?,6579296,70
"September 11 attacks",?,?,6572844,66.95
"XXXTentacion",?,?,6569217,80.7
"The World's Billionaires",?,?,6543185,78.12
"Democratic Party (United States)",?,?,6541400,63.06
"Pop Smoke",?,?,6532656,80.39
"Kim Kardashian",?,?,6521750,81.25
"Juice Wrld",?,?,6479713,74.91
"WhatsApp",?,?,6474614,47.51
"Jojo Rabbit",?,?,6472710,67.46
"Contagion (2011 film)",?,?,6446712,63.2
"Steve Jobs",?,?,6430661,68.09
"6ix9ine",?,?,6424891,79.46
"Richard Jewell",?,?,6408571,81.99
"List of most-viewed YouTube videos",?,?,6400699,50.07
"Uncut Gems",?,?,6391549,70.77
"Diriliş: Ertuğrul",?,?,6386069,82.87
"George W. Bush",?,?,6381081,67.57
"Angelina Jolie",?,?,6366440,80.02
"Ivanka Trump",?,?,6363402,78.94
"Crash Landing on You",?,?,6362148,74.49
"Justin Bieber",?,?,6357683,75.26
"Pete Buttigieg",?,?,6348391,67.34
"Wonder Woman 1984",?,?,6316630,70.27
"WrestleMania 36",?,?,6308242,75.41
"Harvey Weinstein",?,?,6304399,74.27
"Sharon Tate",?,?,6303810,84.17
"Apple Network Server",?,?,6301210,24.53
"Ted Kaczynski",?,?,6298706,74.92
"Charlize Theron",?,?,6284900,75.73
"Stephen Hawking",?,?,6273659,75.45
"Catherine the Great",?,?,6255539,78.2
"Lucifer (TV series)",?,?,6247576,67.66
"Proud Boys",?,?,6218454,71.5
"Google Classroom",?,?,6215128,35.1
"Albert Einstein",?,?,6200822,67.58
"Tom Brady",?,?,6195275,75.92
"COVID-19 pandemic in the United States",?,?,6187492,36.7
"Henry Cavill",?,?,6142853,76.41
"Conor McGregor",?,?,6141524,72.51
"Null",?,?,6128317,34.91
"Dolly Parton",?,?,6118273,78.03
"PlayerUnknown's Battlegrounds",?,?,6116785,84
"Ryan Reynolds",?,?,6094468,77.3
"Kanye West",?,?,6092753,68.66
"Bill Clinton",?,?,6076326,68.26
"2000 United States presidential election",?,?,6066939,55.04
"Marilyn Monroe",?,?,6050498,77.57
"Miguel Ángel Félix Gallardo",?,?,6041550,83.41
"President of the United States",?,?,6034379,66.25
"Lady Gaga",?,?,6024598,70.63
"Knives Out",?,?,6012145,75.32
"Robin Williams",?,?,6009983,75.94
"2009 flu pandemic",?,?,6005981,64.57
"Tupac Shakur",?,?,5995034,77.57
"Margot Robbie",?,?,5988612,73.94
"Shyamala Gopalan",?,?,5967998,83.31
"Robert Downey Jr.",?,?,5955652,76.74
"Meghan, Duchess of Sussex",?,?,5948045,76.97
"Heath Ledger",?,?,5941748,82.23
"Killing of George Floyd",?,?,5927579,70.67
"American Civil War",?,?,5914723,64.47
"Tiger King: Murder, Mayhem and Madness",?,?,5913382,80.89
"Chris Hemsworth",?,?,5902638,80.72
"Jason Momoa",?,?,5888722,81.87
"Douglas Emhoff",?,?,5888466,80.33
