Page,Edits,Editors,Views,Mobile %
"Aaron Carter",?,?,7799252,86
"IOS",?,?,7791296,8.47
"Taylor Hawkins",?,?,7756104,79.57
"Serena Williams",?,?,7745125,79.84
"Ozark (TV series)",?,?,7739337,72.97
"Boris Johnson",?,?,7732510,68.08
"Will Smith",?,?,7719821,71.36
"Peaky Blinders (TV series)",?,?,7694566,72.14
"Kantara (film)",?,?,7683553,88.67
"Ray Liotta",?,?,7681421,79.84
"Rafael Nadal",?,?,7635228,75.49
"Yellowstone (American TV series)",?,?,7616166,69.95
"Better Call Saul (season 6)",?,?,7566435,60.07
"Alia Bhatt",?,?,7560923,89.03
"UEFA Champions League",?,?,7551640,62.75
"Canada",?,?,7548995,54.95
"Kim Kardashian",?,?,7546398,81.41
"Tom Holland",?,?,7533001,77.86
"China",?,?,7499067,55.97
"Olivia Newton-John",?,?,7487454,78.26
"Raindrop cake",?,?,7440952,26.68
"F5 Networks",?,?,7416752,5.91
"Australia",?,?,7381649,52.2
"Keanu Reeves",?,?,7354826,79.52
"Olivia Wilde",?,?,7352585,78.54
"Ana de Armas",?,?,7323391,76.1
"Pushpa: The Rise",?,?,7291471,86.86
"Brittney Griner",?,?,7290275,75.97
"Marvel Cinematic Universe: Phase Four",?,?,7275821,65.6
"Neymar",?,?,7248305,81.35
"Google Classroom",?,?,7238827,42.85
"Ezra Miller",?,?,7226069,75.66
"Eternals (film)",?,?,7214712,73.29
"The White Lotus",?,?,7190642,71.64
"Twitter",?,?,7189038,47.14
"LeBron James",?,?,7165622,74.58
"Prince Harry, Duke of Sussex",?,?,7164889,80.8
"2022 ICC Men's T20 World Cup",?,?,7160240,84.45
"2022 Formula One World Championship",?,?,7105642,49.9
"Moon Knight",?,?,7100456,72.84
"Dua Lipa",?,?,7094200,76.45
"Leonardo DiCaprio",?,?,7084047,77.38
"Prince Andrew, Duke of York",?,?,7027299,78.35
"Ron DeSantis",?,?,7024203,70.5
"Bruce Willis",?,?,6992763,77.35
"C++",?,?,6985242,5.29
"Taiwan",?,?,6967875,59.76
"MacOS",?,?,6963528,6.76
"Freddie Mercury",?,?,6954264,79.08
"Eminem",?,?,6946481,73.51
"Qatar",?,?,6928343,67.74
"Jennifer Lopez",?,?,6907552,80.87
"Marvel Cinematic Universe",?,?,6881125,61.3
"Charles, Prince of Wales",?,?,6872526,74.35
"The Kashmir Files",?,?,6826583,83.95
"Obi-Wan Kenobi (TV series)",?,?,6816413,63.52
"Justin Trudeau",?,?,6805239,74.86
"Andor (TV series)",?,?,6804772,62.77
"Brendan Fraser",?,?,6794276,78.77
"Michael Jordan",?,?,6768202,74.3
"Lisa Marie Presley",?,?,6765157,85.79
"Stephen Curry",?,?,6725562,77.64
"Fantastic Beasts: The Secrets of Dumbledore",?,?,6710773,72.39
"Austin Butler",?,?,6694252,81.92
"Argentina national football team",?,?,6666232,75.45
"Winston Churchill",?,?,6624541,72.27
"Priscilla Presley",?,?,6545198,85.35
"Encanto (film)",?,?,6539100,69.95
"Mike Tyson",?,?,6510459,77.97
"Jennifer Connelly",?,?,6467374,75.36
"The Sandman (TV series)",?,?,6457093,72
"Germany",?,?,6436477,50.74
"Winona Ryder",?,?,6388643,80.81
"Barack Obama",?,?,6364697,63.42
"Turkey",?,?,6342017,60.93
"Hunter Schafer",?,?,6333866,82.29
"Scarlett Johansson",?,?,6320627,79.19
"Manti Te'o",?,?,6297180,88.04
"X (2022 film)",?,?,6287476,78.1
"Ben Affleck",?,?,6267340,79.27
"Brad Pitt",?,?,6243591,77.49
"Julia Garner",?,?,6243353,81.67
"Edward VII",?,?,6201067,77.44
"Queen Elizabeth The Queen Mother",?,?,6142844,78.98
"Angelina Jolie",?,?,6138406,81.33
"Meghan, Duchess of Sussex",?,?,6131660,80.79
"List of James Bond films",?,?,6129590,70.4
"Singapore",?,?,6128328,60.68
"Jada Pinkett Smith",?,?,6121509,77.03
"Bridgerton",?,?,6113377,75.74
"Jason Momoa",?,?,6108886,81.58
"Mahatma Gandhi",?,?,6108330,73.15
"Ted Bundy",?,?,6104837,78.99
"Arnold Schwarzenegger",?,?,6077279,74.67
"Pakistan",?,?,6060048,66.03
"Chernobyl disaster",?,?,6056636,68.94
"2022 FIFA World Cup qualification",?,?,6050410,59.46
"Novak Djokovic",?,?,6005326,73.28
"Elden Ring",?,?,5987457,57.44
"Clint Eastwood",?,?,5974019,76.17
"Muhammad Ali",?,?,5949823,75.61
"Andrew Garfield",?,?,5930476,78.57
"Elliot Page",?,?,5912252,77.75
"Pirates of the Caribbean (film series)",?,?,5885096,73.01
"Game of Thrones",?,?,5879032,70.13
"Tupac Shakur",?,?,5870858,78.55
"BTS",?,?,5867534,71.18
"WrestleMania 38",?,?,5854444,77.14
"Shaquille O'Neal",?,?,5854226,79.71
"Billie Eilish",?,?,5842221,74.11
"FC Barcelona",?,?,5833113,68.57
"Anya Taylor-Joy",?,?,5829445,73.74
"Google Maps",?,?,5815852,15.65
"Shinzo Abe",?,?,5815528,67.86
"Jeff Bezos",?,?,5802847,51.48
"Chelsea F.C.",?,?,5794563,66.19
"France",?,?,5788698,50.63
"Dune (2021 film)",?,?,5771998,67.42
"List of American films of 2022",?,?,5771727,50.52
"Miles Teller",?,?,5765643,82.25
"English language",?,?,5746040,52.85
"List of states and territories of the United States",?,?,5729632,52.95
"Timothée Chalamet",?,?,5726767,78.14
"Pornhub",?,?,5723641,72.51
"Kobe Bryant",?,?,5722425,74.47
"Armie Hammer",?,?,5721355,80.51
"Real Madrid CF",?,?,5715295,63.34
"Uncharted (film)",?,?,5712413,69.07
"List of countries by GDP (nominal)",?,?,5711288,60.02
"Tommy Lee",?,?,5688446,85.53
"Meat Loaf",?,?,5680037,73.85
"Argentina",?,?,5678679,71.16
"John F. Kennedy",?,?,5674338,69.71
"Rihanna",?,?,5662291,78.05
"London",?,?,5657175,42.69
"Snoop Dogg",?,?,5641595,79.19
"Sylvester Stallone",?,?,5628882,78.78
"Bullet Train (film)",?,?,5625247,73
"Chief executive officer",?,?,5621256,10.62
"List of Hindi films of 2022",?,?,5620327,77.71
"Elvis (2022 film)",?,?,5603481,74.69
"Nicolas Cage",?,?,5588464,76.54
"She-Hulk: Attorney at Law",?,?,5584365,65.9
"John Fetterman",?,?,5580824,72.33
"Taika Waititi",?,?,5575125,75.13
"Death on the Nile (2022 film)",?,?,5572331,74.84
"Florence Pugh",?,?,5560492,77.07
"Diego Maradona",?,?,5555312,80.13
"Brazil national football team",?,?,5544583,66.86
"2022 Commonwealth Games",?,?,5544498,82.42
"Roblox",?,?,5482985,19.76
"The Power of the Dog (film)",?,?,5479364,70.17
"Philippines",?,?,5476287,52.92
"The Walking Dead (season 11)",?,?,5470386,66.72
"Mikhail Gorbachev",?,?,5469637,64.73
"Selena Gomez",?,?,5464451,78.07
"Kirstie Alley",?,?,5461540,80.48
"Evan Peters",?,?,5451939,86.56
"Lata Mangeshkar",?,?,5444055,87.63
"Liverpool F.C.",?,?,5440985,64.11
"Breaking Bad",?,?,5434213,66.21
"Maurizio Gucci",?,?,5430057,86.79
"Salman Rushdie",?,?,5429108,75.41
"Artificial intelligence",?,?,5422904,21.64
"XXX: State of the Union",?,?,5418915,98.33
"Sita Ramam",?,?,5415094,88.87
"Lily-Rose Depp",?,?,5412319,81.98
"Casualties of the Russo-Ukrainian War",?,?,5409568,63.23
"Chris Hemsworth",?,?,5399652,80.57
"Netherlands",?,?,5388852,56.26
"Paris Saint-Germain F.C.",?,?,5379946,69.05
"Sandra Bullock",?,?,5377761,79.26
"Morocco",?,?,5373139,70.49
"Scream (2022 film)",?,?,5372680,76.26
"Albert Einstein",?,?,5362965,64.56
"California",?,?,5351943,45.69
"Inventing Anna",?,?,5350189,77.85
"Blake Lively",?,?,5349833,82.45
"Joseph Stalin",?,?,5333526,65.64
"Wiki",?,?,5327235,39.7
"Steve Jobs",?,?,5317520,68.86
"Henry Cavill",?,?,5316716,78.48
"Oscar Isaac",?,?,5312229,76.3
"Zoë Kravitz",?,?,5312196,78.94
"Gangubai Kathiawadi",?,?,5305435,84.09
"2014 FIFA World Cup",?,?,5301612,71.38
"Maya Hawke",?,?,5297187,80.78
"No Time to Die",?,?,5291048,72.94
"William, Prince of Wales",?,?,5279838,79.56
"Emma D'Arcy",?,?,5264490,78.39
"The Northman",?,?,5260000,67.97
"Mila Kunis",?,?,5254324,79.98
"Jennifer Aniston",?,?,5245027,78
"Dodi Fayed",?,?,5228200,84.58
"Glass Onion: A Knives Out Mystery",?,?,5220706,75.05
"Elizabeth I",?,?,5218226,74.38
"The Gray Man (2022 film)",?,?,5214389,76.08
"Karim Benzema",?,?,5213651,79.68
"Periodic table",?,?,5203715,54.11
"Roger Federer",?,?,5197774,74.13
"Severance (TV series)",?,?,5187243,63.99
"Ariana Grande",?,?,5169337,73.35
"94th Academy Awards",?,?,5164290,58.89
"Nancy Pelosi",?,?,5163643,71.72
"2022 United States elections",?,?,5159618,60.07
"Manifest (TV series)",?,?,5147531,74.65
"Wikimedia Foundation",?,?,5120415,94.16
"Lady Gaga",?,?,5119930,74.33
"The Book of Boba Fett",?,?,5119754,61.82
"2022–23 UEFA Champions League",?,?,5099722,55.76
"Prince Edward, Earl of Wessex",?,?,5090008,79.52
"Jordan Peterson",?,?,5087377,69.79
"Eurovision Song Contest 2022",?,?,5087078,56.94
"Julia Fox (actress)",?,?,5081758,83.85
"England",?,?,5074032,52.59
"Omegle",?,?,5069696,57.21
"The King's Man",?,?,5068226,73.99
"Heath Ledger",?,?,5045934,81.73
"India at the 2022 Commonwealth Games",?,?,5038281,88.12
"Mark Wahlberg",?,?,5026805,80.22
"XXXX (album)",?,?,5019993,99.05
"Sidhu Moose Wala",?,?,5008463,88.22
"Maryland",?,?,4995780,13.88
"Chadwick Boseman",?,?,4992159,80.84
"COVID-19 pandemic",?,?,4970587,48.08
"Colonel Tom Parker",?,?,4964639,82.21
"Ketanji Brown Jackson",?,?,4963843,66.19
"Manchester City F.C.",?,?,4959910,66.97
"Abraham Lincoln",?,?,4959750,65.07
"Kylie Jenner",?,?,4950508,83.96
"The Walking Dead (TV series)",?,?,4946664,64.46
"Web server directory index",?,?,4944141,0.13
"Azov Battalion",?,?,4943478,63.22
"Dakota Johnson",?,?,4919640,81.01
"Jennifer Lawrence",?,?,4918499,76.14
"Julia Roberts",?,?,4903235,81.16
"Robin Williams",?,?,4902128,77.62
"TikTok",?,?,4898617,46.44
"Margot Robbie",?,?,4891806,77.63
"Harry Potter (film series)",?,?,4890125,69.5
"Europe",?,?,4886281,42.53
"Smile (2022 film)",?,?,4884203,72.16
"United Arab Emirates",?,?,4883586,64.17
"List of NBA champions",?,?,4873017,75.74
"Timeline of the 2022 Russian invasion of Ukraine",?,?,4869382,50.6
"Magic Johnson",?,?,4866640,81.2
"Sydney Sweeney",?,?,4864991,77.98
"Travis Barker",?,?,4863413,82.55
"September 11 attacks",?,?,4861986,64.15
"2022 Winter Olympics",?,?,4855181,52.11
"Mohamed Al-Fayed",?,?,4854114,85.47
"Venus Williams",?,?,4850106,82.29
"Lewis Hamilton",?,?,4834027,74.39
"Gangubai Kothewali",?,?,4832793,88.31
"David Bowie",?,?,4823467,69.43
"Tom Hanks",?,?,4819231,73.69
"Ryan Gosling",?,?,4808756,78.52
"Emma Watson",?,?,4804454,75.89
"Arsenal F.C.",?,?,4803732,64.95
"Madonna",?,?,4800500,73.93
"Matt Smith",?,?,4797695,78.49
"Peacemaker (TV series)",?,?,4797460,62.37
"Ms. Marvel (TV series)",?,?,4783935,67.02
"Ronaldo (Brazilian footballer)",?,?,4782512,80.71
"Zlatan Ibrahimović",?,?,4776732,79.86
"Jared Leto",?,?,4776167,76.92
"Indonesia",?,?,4775407,62.3
"Sri Lanka",?,?,4746054,66.58
"Patrizia Reggiani",?,?,4736214,86.74
"Turning Red",?,?,4731413,66.19
"Wordle",?,?,4716303,63.85
"Prey (2022 film)",?,?,4706850,72
"Joe Burrow",?,?,4703100,83.05
"Brazil",?,?,4691465,62.31
"Vanessa Paradis",?,?,4690755,83.68
"William Shakespeare",?,?,4687575,65.92
"Charles Cullen",?,?,4687513,87.1
"Jim Carrey",?,?,4685312,76.52
"The Umbrella Academy (TV series)",?,?,4684264,72.31
"Vietnam War",?,?,4683249,64.14
"Christian Bale",?,?,4682552,74.58
"Chris Pratt",?,?,4671478,77.19
"Belarus",?,?,4668709,62.3
"Poland",?,?,4666574,53.3
"France national football team",?,?,4660984,63.64
"Succession (TV series)",?,?,4660453,67.18
"Henry VIII",?,?,4655874,72.91
"Jimmy Savile",?,?,4652458,80.04
"Tyson Fury",?,?,4649212,75.47
"Joe Rogan",?,?,4648795,73.18
"Robert Downey Jr.",?,?,4645946,78.32
"Virat Kohli",?,?,4644862,82.19
"Iran",?,?,4638880,64.62
"Sandy Hook Elementary School shooting",?,?,4635324,72.83
"Justin Bieber",?,?,4624547,75.73
"Margaret Thatcher",?,?,4623470,71.42
"Knives Out",?,?,4617218,75.15
"Lightyear (film)",?,?,4614975,67.9
"Herschel Walker",?,?,4613534,73.88
"Emmett Till",?,?,4609289,78.01
"South Africa",?,?,4604135,60.18
"The Crown (TV series)",?,?,4597252,70.91
"Kendrick Lamar",?,?,4596068,71.22
"Franklin D. Roosevelt",?,?,4593032,67.52
"Afghanistan",?,?,4591669,62.38
"Dolly Parton",?,?,4586688,79.09
"Italy",?,?,4584873,50.5
"Kelly McGillis",?,?,4578154,83.92
"Ottoman Empire",?,?,4577277,66.79
"Switzerland",?,?,4572640,55.49
"Robert Lewandowski",?,?,4568540,77.03
"Israel",?,?,4564664,60.77
"Pablo Escobar",?,?,4562561,77.94
"Tom Hardy",?,?,4561651,78.95
"The Witcher (TV series)",?,?,4558893,70.21
"Paul McCartney",?,?,4553628,70.62
"The Black Phone",?,?,4552430,77.91
"Michael J. Fox",?,?,4548430,80
"Kris Jenner",?,?,4548167,86.53
"Elton John",?,?,4544234,74.12
"Where the Crawdads Sing",?,?,4542360,79.28
"Shakira",?,?,4538779,78.54
"Narendra Modi",?,?,4532300,76.84
"Robert Pattinson",?,?,4532119,76.41
"Chris Evans (actor)",?,?,4531811,80.04
"Robbie Coltrane",?,?,4525139,80.88
"Napoleon",?,?,4513053,65.12
"The Beatles",?,?,4510662,61.67
"Ethan Hawke",?,?,4508599,78.08
"Kazakhstan",?,?,4506698,60.49
"Elizabeth Olsen",?,?,4499506,76.31
"Apple Inc.",?,?,4498253,49.57
"Matthew McConaughey",?,?,4488509,77.27
"James Caan",?,?,4488500,77.44
"2020 United States presidential election",?,?,4488100,51.61
"North America",?,?,4486202,35.42
"2022 monkeypox outbreak",?,?,4485738,74.72
"Stephen Hawking",?,?,4479858,72.87
"Natalie Portman",?,?,4476833,76.24
"Ronald Reagan",?,?,4474898,64.7
"Black Adam",?,?,4468866,74.84
"Georgia Guidestones",?,?,4455154,78.97
"Xi Jinping",?,?,4454613,61.79
"John Travolta",?,?,4450471,79.39
"Caitlyn Jenner",?,?,4449302,83.02
"Macaulay Culkin",?,?,4443451,82.77
"Nicole Kidman",?,?,4437789,79.03
"Jeffrey Epstein",?,?,4437547,76.27
"Cillian Murphy",?,?,4427558,79.05
"Los Angeles",?,?,4426207,46.7
"E-commerce",?,?,4352323,10.49
