Page,Edits,Editors,Views,Mobile %
"Jeffrey Dahmer",536,135,54850769,87.79
"2022 Russian invasion of Ukraine",0,0,50314503,52.08
"Deaths in 2022",3,1,46512168,48.77
"2022 FIFA World Cup",3163,695,46435339,62.17
"Elizabeth II",2338,546,43566103,75.83
"YouTube",322,164,39227778,30.56
"Elon Musk",3481,635,27875674,74.36
"Vladimir Putin",1186,342,25464698,73.82
"Bible",1329,86,23831997,3.33
"Ukraine",1134,280,23558137,65.04
"Cristiano Ronaldo",689,158,22693305,80.63
"Skathi (moon)",20,14,22498747,97.24
"Lionel Messi",716,186,21708035,80
"Amber Heard",1061,238,20397014,77.39
"FIFA World Cup",465,184,20112321,73.42
"Johnny Depp",408,172,19897324,77.38
"Microsoft Office",60,44,19624224,69.11
"XXX: Return of Xander Cage",50,42,18806904,98.6
"Wikipedia",430,235,18512140,74.64
"Russo-Ukrainian War",1633,506,17825347,62.14
"House of the Dragon",2440,591,17580136,69.86
"United States",3220,451,17553593,50.46
"Top Gun: Maverick",3816,1273,17521273,74.06
"Andrew Tate",1411,430,17502097,77.22
"Ansel Adams",101,67,16987864,98.7
"Doctor Strange in the Multiverse of Madness",2221,435,16842367,69.37
"Anna Sorokin",791,343,16668850,84.22
"Elvis Presley",299,126,16551282,80.81
"Google",249,125,16525248,28.42
"RRR (film)",0,0,16339983,84.95
"K.G.F: Chapter 2",0,0,16323882,88.89
"Charles III",2127,674,16263655,76.45
"Rishi Sunak",2018,576,15988264,74.38
"The Batman (film)",2378,363,15986457,73.77
"XXX (film series)",42,33,15634662,97.34
"India",540,130,14684925,57.4
"Thor: Love and Thunder",1965,590,14212166,75.6
"Stranger Things",535,159,13996051,72.94
"Volodymyr Zelenskyy",869,360,13973556,68.65
"Avatar: The Way of Water",2099,794,13966217,78.34
"George VI",514,253,13957815,80.52
"Marilyn Monroe",293,103,13906926,82.76
"Facebook",172,82,13903564,26.64
"Instagram",157,95,13734983,36.98
"Stranger Things (season 4)",0,0,13697645,76.68
"XXXX (beer)",95,72,13347783,98.48
"Diana, Princess of Wales",387,139,13021918,82.39
"Spider-Man: No Way Home",1672,312,13015008,72.38
"Jenna Ortega",477,217,12965642,82.48
"CEO",0,0,12759139,1.48
"Tom Cruise",217,89,12718538,78.1
"Kylian Mbappé",430,157,12718417,82.75
"Internet",65,35,12629349,9.78
"Gmail",19,15,12549312,6.39
"Russia",1711,263,12342744,62.24
"YouTube Music",50,36,12282332,1.92
"List of highest-grossing Indian films",1211,106,12247811,87.33
"Anne Heche",1451,375,12142701,80.24
"XXXX",2,1,12076491,98.27
"Euphoria (American TV series)",1487,520,11998760,70.69
"Susan Wojcicki",67,36,11957585,2.89
"United Kingdom",759,268,11957242,54.6
"NATO",363,165,11877481,66.33
"List of Marvel Cinematic Universe films",511,87,11793237,64.62
"XXX (2002 film)",83,69,11771500,97.7
"Liz Truss",2327,723,11769845,68.43
"YouTube Premium",89,71,11748035,1.63
"Google Translate",101,43,11735961,15.24
"Black Panther: Wakanda Forever",1560,400,11696503,74.66
"Christopher Scarver",437,281,11665137,88.14
"Null",16,8,11460736,31.79
"The Lord of the Rings: The Rings of Power",1702,509,11320053,68.65
"Ponniyin Selvan: I",1423,284,11249944,87.16
"Premier League",592,296,11155527,60.22
"Elizabeth Holmes",364,137,10972649,78.57
"XXXTentacion",413,90,10887241,89.08
"ICC Men's T20 World Cup",664,319,10809673,91.62
"Prince Philip, Duke of Edinburgh",365,116,10679724,79.78
"Kanye West",1409,447,10406591,71.4
"2026 FIFA World Cup",894,377,10368122,74.49
"WhatsApp",112,60,10368089,27.82
"Donald Trump",1891,303,10357049,63.08
"Zendaya",325,119,10272788,79.33
"Black Adam (film)",2272,695,10179639,75.93
"Microsoft Windows",87,53,10137477,7.85
"Princess Margaret, Countess of Snowdon",329,152,10117289,83.79
"Edward VIII",375,193,10045552,79.53
"Val Kilmer",202,142,9908771,82.98
"Millie Bobby Brown",551,204,9900788,80.7
"Roe v. Wade",1128,179,9880910,73.27
"Queen Victoria",196,91,9871687,74.42
"Joe Biden",724,217,9825947,66.77
"World War II",415,177,9667787,63.16
"Sex",142,40,9602321,91.96
"John Wayne Gacy",215,56,9569291,83.46
"List of highest-grossing films",1061,71,9562643,74.04
"Wednesday (TV series)",1064,367,9397710,76.4
"Brahmāstra: Part One – Shiva",2648,448,9355376,88.87
"Netflix",892,466,9337901,23.43
"The Boys (TV series)",1001,347,9270236,66.66
"XNXX",?,?,9270034,94.2
"George V",?,?,9186642,77.78
"Bob Saget",?,?,9151110,80.95
"Cat",?,?,9125433,25
"Harry Styles",?,?,9058256,77.55
"2018 FIFA World Cup",?,?,9030150,66.83
"Video hosting service",?,?,8983780,0.53
"Tom Brady",?,?,8973130,78.47
"Brownie (folklore)",?,?,8891094,26.17
"Erling Haaland",?,?,8717224,78.54
"2022 in film",?,?,8710058,65.83
"Adolf Hitler",?,?,8700451,63.93
"Moon Knight (TV series)",?,?,8654561,64.1
"Dwayne Johnson",?,?,8646406,76.2
"Android (operating system)",?,?,8606989,13.83
"Vikram (2022 film)",?,?,8579542,85.75
"Soviet Union",?,?,8536527,65.66
"Avatar (2009 film)",?,?,8507501,75.63
"Pete Davidson",?,?,8501476,82.49
"Jurassic World Dominion",?,?,8468636,73.44
"Member states of NATO",?,?,8458577,70.51
"Better Call Saul",?,?,8407727,63.51
"Anne, Princess Royal",?,?,8381626,79.75
"Meta Platforms",?,?,8380538,17.28
"Top Gun",?,?,8360259,76.29
"JavaScript",?,?,8352527,4.77
"World War I",?,?,8334692,69.15
"Michael Jackson",?,?,8312606,73.43
"Pamela Anderson",?,?,8278569,87.16
"Don't Worry Darling",?,?,8272054,79.23
"Nope (film)",?,?,8247379,73.78
"Pelé",?,?,8193686,80.68
"Ryan Reynolds",?,?,8192291,79.17
"Morbius (film)",?,?,8160180,69.13
"Amazon (company)",?,?,8139460,21.41
"Everything Everywhere All at Once",?,?,8135701,70.23
"Taylor Swift",?,?,8114131,70.51
"Betty White",?,?,8055421,81.26
"The Pirate Bay",?,?,7979799,13.45
"BBC World Service",?,?,7962046,92.41
"New York City",?,?,7921348,44.92
"List of A Certain Magical Index characters",?,?,7906811,0.53
"Japan",?,?,7898985,44
"Manchester United F.C.",?,?,7894001,62.43
"Laal Singh Chaddha",?,?,7823813,87.31
"List of FIFA World Cup finals",?,?,7806767,82.23
